орон+pos+N+deriv+nmlz+num+sg+case+nom	ором^мул
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3pl	орон^.drv.vblz3.ор^ооччу^лара
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2pl	орон^.drv.vblz3.ор^ооччу^гут
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1pl	орон^.drv.vblz3.ор^ооччу^бут
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2sg	орон^.drv.vblz3.ор^ооччу^ҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1sg	орон^.drv.vblz3.ор^ооччу^м
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3sg	орон^.drv.vblz3.ор^ооччу^та
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+3	орон^.drv.vblz3.ор^ол^лор
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+1	орон^.drv.vblz3.ор^о^бут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+sg+pers+1	орон^.drv.vblz3.ор^о^бун
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+2	орон^.drv.vblz3.ор^о^ҕут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+sg+pers+2	орон^.drv.vblz3.ор^о^ҕун
орон+pos+N+deriv+vblz3+pos+V	орон^.drv.vblz3.оор
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+pl+pers+1	орон^.drv.vblz3.оор^боп^пут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+sg+pers+1	орон^.drv.vblz3.оор^боп^пун
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+pl+pers+2	орон^.drv.vblz3.оор^бок^кут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+sg+pers+2	орон^.drv.vblz3.оор^бок^кун
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+sg+pers+3	орон^.drv.vblz3.оор^бот
орон+pos+N+deriv+vblz3+pos+V+tense+pres+polarity+neg+num+pl+pers+3	орон^.drv.vblz3.оор^бот^тор
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+sg+pers+3	орон^.drv.vblz3.оор^ор
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+1pl	орон^.drv.vblz3.оор^дьум^мут
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom	орон^.drv.vblz3.оор^дьун
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+com	орон^.drv.vblz3.оор^дьун^нуун
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+dat	орон^.drv.vblz3.оор^дьун^га
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+cmpr	орон^.drv.vblz3.оор^дьун^тааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+part	орон^.drv.vblz3.оор^дьун^та
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+abl	орон^.drv.vblz3.оор^дьун^тан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+2pl	орон^.drv.vblz3.оор^дьун^гут
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+3sg	орон^.drv.vblz3.оор^дьун^а
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+3pl	орон^.drv.vblz3.оор^дьун^нара
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+2sg	орон^.drv.vblz3.оор^дьун^уҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+nom+poss+1sg	орон^.drv.vblz3.оор^дьун^ум
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+acc	орон^.drv.vblz3.оор^дьун^у
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+sg+case+ins	орон^.drv.vblz3.оор^дьун^унан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom	орон^.drv.vblz3.оор^дьун^нар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+dat	орон^.drv.vblz3.оор^дьун^нар^га
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+acc	орон^.drv.vblz3.оор^дьун^нар^ы
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+ins	орон^.drv.vblz3.оор^дьун^нар^ынан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+2pl	орон^.drv.vblz3.оор^дьун^нар^гыт
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+1pl	орон^.drv.vblz3.оор^дьун^нар^быт
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+3sg	орон^.drv.vblz3.оор^дьун^нар^а
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+2sg	орон^.drv.vblz3.оор^дьун^нар^ыҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+1sg	орон^.drv.vblz3.оор^дьун^нар^ым
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+com	орон^.drv.vblz3.оор^дьун^нар^дыын
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+cmpr	орон^.drv.vblz3.оор^дьун^нар^дааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+part	орон^.drv.vblz3.оор^дьун^нар^да
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+abl	орон^.drv.vblz3.оор^дьун^нар^дан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb2+num+pl+case+nom+poss+3pl	орон^.drv.vblz3.оор^дьун^нара
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom	орон^.drv.vblz3.оор^уу
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom	орон^.drv.vblz3.оор^уу^лар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+dat	орон^.drv.vblz3.оор^уу^лар^га
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+acc	орон^.drv.vblz3.оор^уу^лар^ы
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+ins	орон^.drv.vblz3.оор^уу^лар^ынан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+2pl	орон^.drv.vblz3.оор^уу^лар^гыт
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+1pl	орон^.drv.vblz3.оор^уу^лар^быт
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+3sg	орон^.drv.vblz3.оор^уу^лар^а
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+2sg	орон^.drv.vblz3.оор^уу^лар^ыҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+1sg	орон^.drv.vblz3.оор^уу^лар^ым
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+com	орон^.drv.vblz3.оор^уу^лар^дыын
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+cmpr	орон^.drv.vblz3.оор^уу^лар^дааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+part	орон^.drv.vblz3.оор^уу^лар^да
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+abl	орон^.drv.vblz3.оор^уу^лар^дан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+pl+case+nom+poss+3pl	орон^.drv.vblz3.оор^уу^лара
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+com	орон^.drv.vblz3.оор^уу^луун
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+ins	орон^.drv.vblz3.оор^уу^нан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+acc	орон^.drv.vblz3.оор^уу^ну
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+dat	орон^.drv.vblz3.оор^уу^га
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+abl	орон^.drv.vblz3.оор^уу^ттан
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+cmpr	орон^.drv.vblz3.оор^уу^тааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+part	орон^.drv.vblz3.оор^уу^та
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+3pl	орон^.drv.vblz3.оор^уу^лара
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+2pl	орон^.drv.vblz3.оор^уу^гут
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+1pl	орон^.drv.vblz3.оор^уу^бут
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+2sg	орон^.drv.vblz3.оор^уу^ҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+1sg	орон^.drv.vblz3.оор^уу^м
орон+pos+N+deriv+vblz3+pos+V+deriv+dvb+num+sg+case+nom+poss+3sg	орон^.drv.vblz3.оор^уу^та
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+sg+pers+3	орон^.drv.vblz3.оор^оохд^уур
орон+pos+N+deriv+vblz3+pos+V+deriv+attd	орон^.drv.vblz3.оор^оохтоо
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+1	орон^.drv.vblz3.оор^оохтоо^боп^пут
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+1	орон^.drv.vblz3.оор^оохтоо^боп^пун
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+2	орон^.drv.vblz3.оор^оохтоо^бок^кут
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+2	орон^.drv.vblz3.оор^оохтоо^бок^кун
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+3	орон^.drv.vblz3.оор^оохтоо^бот
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+3	орон^.drv.vblz3.оор^оохтоо^бот^тор
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+pl+pers+1	орон^.drv.vblz3.оор^оохтоо^уу^бут
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+sg+pers+1	орон^.drv.vblz3.оор^оохтоо^уу^бун
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+pl+pers+2	орон^.drv.vblz3.оор^оохтоо^уу^гут
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+sg+pers+2	орон^.drv.vblz3.оор^оохтоо^уу^гун
орон+pos+N+deriv+vblz3+pos+V+deriv+attd+tense+pres+num+pl+pers+3	орон^.drv.vblz3.оор^оохтоо^уул^лар
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom	орон^.drv.vblz3.оор^ооччу
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom	орон^.drv.vblz3.оор^ооччу^лар
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+dat	орон^.drv.vblz3.оор^ооччу^лар^га
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+acc	орон^.drv.vblz3.оор^ооччу^лар^ы
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+ins	орон^.drv.vblz3.оор^ооччу^лар^ынан
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2pl	орон^.drv.vblz3.оор^ооччу^лар^гыт
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1pl	орон^.drv.vblz3.оор^ооччу^лар^быт
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3sg	орон^.drv.vblz3.оор^ооччу^лар^а
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2sg	орон^.drv.vblz3.оор^ооччу^лар^ыҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1sg	орон^.drv.vblz3.оор^ооччу^лар^ым
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+com	орон^.drv.vblz3.оор^ооччу^лар^дыын
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+cmpr	орон^.drv.vblz3.оор^ооччу^лар^дааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+part	орон^.drv.vblz3.оор^ооччу^лар^да
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+abl	орон^.drv.vblz3.оор^ооччу^лар^дан
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3pl	орон^.drv.vblz3.оор^ооччу^лара
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+com	орон^.drv.vblz3.оор^ооччу^луун
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+ins	орон^.drv.vblz3.оор^ооччу^нан
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+acc	орон^.drv.vblz3.оор^ооччу^ну
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+dat	орон^.drv.vblz3.оор^ооччу^га
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+abl	орон^.drv.vblz3.оор^ооччу^ттан
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+cmpr	орон^.drv.vblz3.оор^ооччу^тааҕар
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+part	орон^.drv.vblz3.оор^ооччу^та
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3pl	орон^.drv.vblz3.оор^ооччу^лара
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2pl	орон^.drv.vblz3.оор^ооччу^гут
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1pl	орон^.drv.vblz3.оор^ооччу^бут
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2sg	орон^.drv.vblz3.оор^ооччу^ҥ
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1sg	орон^.drv.vblz3.оор^ооччу^м
орон+pos+N+deriv+vblz3+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3sg	орон^.drv.vblz3.оор^ооччу^та
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+3	орон^.drv.vblz3.оор^ол^лор
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+1	орон^.drv.vblz3.оор^о^бут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+sg+pers+1	орон^.drv.vblz3.оор^о^бун
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+pl+pers+2	орон^.drv.vblz3.оор^о^ҕут
орон+pos+N+deriv+vblz3+pos+V+tense+pres+num+sg+pers+2	орон^.drv.vblz3.оор^о^ҕун
орон+pos+N+deriv+dim4+num+sg+case+nom	орон^кой
орон+pos+N+deriv+dim4+num+sg+case+dat	орон^кой^го
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+2pl	орон^кой^гут
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+1pl	орон^кой^бут
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+3pl	орон^кой^доро
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+2sg	орон^кой^уҥ
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+1sg	орон^кой^ум
орон+pos+N+deriv+dim4+num+sg+case+nom+poss+3sg	орон^кой^о
орон+pos+N+deriv+dim4+num+sg+case+cmpr	орон^кой^дооҕор
орон+pos+N+deriv+dim4+num+sg+case+part	орон^кой^до
орон+pos+N+deriv+dim4+num+sg+case+abl	орон^кой^дон
орон+pos+N+deriv+dim4+num+sg+case+com	орон^кой^дуун
орон+pos+N+deriv+dim4+num+sg+case+acc	орон^кой^у
орон+pos+N+deriv+dim4+num+sg+case+ins	орон^кой^унон
орон+pos+N+deriv+dim4+num+pl+case+nom	орон^кой^дор
орон+pos+N+deriv+dim4+num+pl+case+dat	орон^кой^дор^го
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+2pl	орон^кой^дор^гут
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+1pl	орон^кой^дор^бут
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+2sg	орон^кой^дор^уҥ
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+1sg	орон^кой^дор^ум
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+3sg	орон^кой^дор^о
орон+pos+N+deriv+dim4+num+pl+case+cmpr	орон^кой^дор^дооҕор
орон+pos+N+deriv+dim4+num+pl+case+part	орон^кой^дор^до
орон+pos+N+deriv+dim4+num+pl+case+abl	орон^кой^дор^дон
орон+pos+N+deriv+dim4+num+pl+case+com	орон^кой^дор^дуун
орон+pos+N+deriv+dim4+num+pl+case+acc	орон^кой^дор^у
орон+pos+N+deriv+dim4+num+pl+case+ins	орон^кой^дор^унон
орон+pos+N+deriv+dim4+num+pl+case+nom+poss+3pl	орон^кой^доро
орон+pos+N+deriv+dim2+num+sg+case+nom	орон^ко
орон+pos+N+deriv+dim2+num+pl+case+nom	орон^ко^лор
орон+pos+N+deriv+dim2+num+pl+case+dat	орон^ко^лор^го
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+2pl	орон^ко^лор^гут
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+1pl	орон^ко^лор^бут
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+2sg	орон^ко^лор^уҥ
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+1sg	орон^ко^лор^ум
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+3sg	орон^ко^лор^о
орон+pos+N+deriv+dim2+num+pl+case+cmpr	орон^ко^лор^дооҕор
орон+pos+N+deriv+dim2+num+pl+case+part	орон^ко^лор^до
орон+pos+N+deriv+dim2+num+pl+case+abl	орон^ко^лор^дон
орон+pos+N+deriv+dim2+num+pl+case+com	орон^ко^лор^дуун
орон+pos+N+deriv+dim2+num+pl+case+acc	орон^ко^лор^у
орон+pos+N+deriv+dim2+num+pl+case+ins	орон^ко^лор^унон
орон+pos+N+deriv+dim2+num+pl+case+nom+poss+3pl	орон^ко^лоро
орон+pos+N+deriv+dim2+num+sg+case+com	орон^ко^луун
орон+pos+N+deriv+dim2+num+sg+case+acc	орон^ко^ну
орон+pos+N+deriv+dim2+num+sg+case+ins	орон^ко^нон
орон+pos+N+deriv+dim2+num+sg+case+dat	орон^ко^го
орон+pos+N+deriv+dim2+num+sg+case+abl	орон^ко^ттон
орон+pos+N+deriv+dim2+num+sg+case+cmpr	орон^ко^тооҕор
орон+pos+N+deriv+dim2+num+sg+case+part	орон^ко^то
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+3pl	орон^ко^лоро
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+2pl	орон^ко^гут
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+1pl	орон^ко^бут
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+2sg	орон^ко^ҥ
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+1sg	орон^ко^м
орон+pos+N+deriv+dim2+num+sg+case+nom+poss+3sg	орон^ко^то
орон+pos+N+num+sg+case+com	орон^нуун
орон+pos+N+num+sg+case+dat	орон^го
орон+pos+N+num+sg+case+cmpr	орон^тооҕор
орон+pos+N+num+sg+case+part	орон^то
орон+pos+N+num+sg+case+abl	орон^тон
орон+pos+N+num+sg+case+nom+poss+2pl	орон^гут
орон+pos+N+num+sg+case+nom+poss+3pl	орон^норо
орон+pos+N+num+sg+case+nom+poss+2sg	орон^уҥ
орон+pos+N+num+sg+case+nom+poss+1sg	орон^ум
орон+pos+N+num+sg+case+nom+poss+3sg	орон^о
орон+pos+N+num+sg+case+acc	орон^у
орон+pos+N+num+sg+case+ins	орон^унон
орон+pos+N+num+pl+case+nom	орон^нор
орон+pos+N+num+pl+case+dat	орон^нор^го
орон+pos+N+num+pl+case+nom+poss+2pl	орон^нор^гут
орон+pos+N+num+pl+case+nom+poss+1pl	орон^нор^бут
орон+pos+N+num+pl+case+nom+poss+2sg	орон^нор^уҥ
орон+pos+N+num+pl+case+nom+poss+1sg	орон^нор^ум
орон+pos+N+num+pl+case+nom+poss+3sg	орон^нор^о
орон+pos+N+num+pl+case+cmpr	орон^нор^дооҕор
орон+pos+N+num+pl+case+part	орон^нор^до
орон+pos+N+num+pl+case+abl	орон^нор^дон
орон+pos+N+num+pl+case+com	орон^нор^дуун
орон+pos+N+num+pl+case+acc	орон^нор^у
орон+pos+N+num+pl+case+ins	орон^нор^унон
орон+pos+N+num+pl+case+nom+poss+3pl	орон^норо
орон+pos+N+deriv+dim5+num+sg+case+nom	орон^уйо
орон+pos+N+deriv+dim5+num+pl+case+nom	орон^уйо^лор
орон+pos+N+deriv+dim5+num+pl+case+dat	орон^уйо^лор^го
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+2pl	орон^уйо^лор^гут
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+1pl	орон^уйо^лор^бут
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+2sg	орон^уйо^лор^уҥ
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+1sg	орон^уйо^лор^ум
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+3sg	орон^уйо^лор^о
орон+pos+N+deriv+dim5+num+pl+case+cmpr	орон^уйо^лор^дооҕор
орон+pos+N+deriv+dim5+num+pl+case+part	орон^уйо^лор^до
орон+pos+N+deriv+dim5+num+pl+case+abl	орон^уйо^лор^дон
орон+pos+N+deriv+dim5+num+pl+case+com	орон^уйо^лор^дуун
орон+pos+N+deriv+dim5+num+pl+case+acc	орон^уйо^лор^у
орон+pos+N+deriv+dim5+num+pl+case+ins	орон^уйо^лор^унон
орон+pos+N+deriv+dim5+num+pl+case+nom+poss+3pl	орон^уйо^лоро
орон+pos+N+deriv+dim5+num+sg+case+com	орон^уйо^луун
орон+pos+N+deriv+dim5+num+sg+case+acc	орон^уйо^ну
орон+pos+N+deriv+dim5+num+sg+case+ins	орон^уйо^нон
орон+pos+N+deriv+dim5+num+sg+case+dat	орон^уйо^го
орон+pos+N+deriv+dim5+num+sg+case+abl	орон^уйо^ттон
орон+pos+N+deriv+dim5+num+sg+case+cmpr	орон^уйо^тооҕор
орон+pos+N+deriv+dim5+num+sg+case+part	орон^уйо^то
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+3pl	орон^уйо^лоро
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+2pl	орон^уйо^гут
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+1pl	орон^уйо^бут
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+2sg	орон^уйо^ҥ
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+1sg	орон^уйо^м
орон+pos+N+deriv+dim5+num+sg+case+nom+poss+3sg	орон^уйо^то
орон+pos+N+deriv+vblz2+pos+V	орон^уй
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+sg+pers+3	орон^уй^аахд^ыыр
орон+pos+N+deriv+vblz2+pos+V+deriv+attd	орон^уй^аахтаа
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+1	орон^уй^аахтаа^бап^пыт
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+1	орон^уй^аахтаа^бап^пын
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+2	орон^уй^аахтаа^бак^кыт
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+2	орон^уй^аахтаа^бак^кын
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+3	орон^уй^аахтаа^бат
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+3	орон^уй^аахтаа^бат^тар
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+pl+pers+1	орон^уй^аахтаа^ыы^быт
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+sg+pers+1	орон^уй^аахтаа^ыы^бын
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+pl+pers+2	орон^уй^аахтаа^ыы^гыт
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+sg+pers+2	орон^уй^аахтаа^ыы^гын
орон+pos+N+deriv+vblz2+pos+V+deriv+attd+tense+pres+num+pl+pers+3	орон^уй^аахтаа^ыыл^лар
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+sg+case+nom	орон^уй^ааччу
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom	орон^уй^ааччу^лар
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+dat	орон^уй^ааччу^лар^га
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+acc	орон^уй^ааччу^лар^ы
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+ins	орон^уй^ааччу^лар^ынан
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2pl	орон^уй^ааччу^лар^гыт
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1pl	орон^уй^ааччу^лар^быт
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3sg	орон^уй^ааччу^лар^а
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2sg	орон^уй^ааччу^лар^ыҥ
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1sg	орон^уй^ааччу^лар^ым
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+com	орон^уй^ааччу^лар^дыын
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+cmpr	орон^уй^ааччу^лар^дааҕар
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+part	орон^уй^ааччу^лар^да
орон+pos+N+deriv+vblz2+pos+V+deriv+ag.nom+num+pl+case+abl	орон^уй^ааччу^лар^дан
